date,commodity,location,rainfall_mm,soil_quality,price_per_kg
2018-01-11,gram,Jaipur,13.05,Average,72.52
2018-01-12,moong,Nagpur,5.34,Poor,86.05
2018-01-12,wheat,Bhopal,32.51,Excellent,20.54
2018-01-13,rice,Lucknow,48.84,Excellent,47.62
2018-01-13,wheat,Ahmedabad,1.62,Good,28.45
2018-01-13,wheat,Pune,15.6,Good,31.02
2018-01-13,potato,Nagpur,48.13,Average,14.46
2018-01-13,soyabean,Patna,11.86,Average,42.15
2018-01-13,gram,Bhopal,1.22,Average,72.18
2018-01-13,urad,Ahmedabad,0.52,Good,50.57
2018-01-13,potato,Indore,27.88,Average,17.94
2018-01-14,gram,Pune,35.95,Excellent,65.34
2018-01-14,rice,Ahmedabad,42.1,Good,50.09
2018-01-14,tomato,Bhopal,47.6,Poor,34.55
2018-01-14,potato,Bhopal,5.28,Average,16.27
2018-01-14,gram,Ahmedabad,0.92,Good,69.93
2018-01-14,onion,Lucknow,29.52,Excellent,22.28
2018-01-15,moong,Jaipur,31.87,Good,88.58
2018-01-15,soyabean,Nagpur,7.24,Excellent,35.23
2018-01-15,wheat,Jaipur,47.49,Poor,29.17
2018-01-15,tomato,Indore,9.76,Average,36.6
2018-01-16,tomato,Jaipur,6.73,Good,26.03
2018-01-16,soyabean,Indore,14.62,Good,49.96
2018-01-16,wheat,Bhopal,10.2,Good,24.96
2018-01-16,moong,Ahmedabad,22.71,Good,88.91
2018-01-17,gram,Bhopal,39.84,Average,65.5
2018-01-17,wheat,Indore,30.84,Excellent,28.1
2018-01-17,gram,Indore,48.62,Good,66.08
2018-01-17,urad,Lucknow,25.1,Poor,76.95
2018-01-18,urad,Hyderabad,40.15,Average,72.11
2018-01-18,tomato,Kanpur,35.81,Excellent,21.14
2018-01-18,tomato,Kanpur,5.92,Good,33.76
2018-01-18,rice,Patna,20.05,Average,34.03
2018-01-18,gram,Bhopal,6.55,Average,73.11
2018-01-18,tomato,Lucknow,27.42,Good,35.26
2018-01-19,onion,Pune,32.5,Good,19.75
2018-01-19,moong,Indore,22.96,Average,61.47
2018-01-19,rice,Patna,36.14,Good,37.12
2018-01-20,potato,Ahmedabad,4.52,Poor,14.17
2018-01-20,urad,Hyderabad,19.62,Average,81.33
2018-01-20,tomato,Indore,8.46,Good,36.16
2018-01-20,rice,Lucknow,8.51,Average,33.11
2018-01-20,soyabean,Lucknow,37.76,Good,47.39
2018-01-20,wheat,Kanpur,49.93,Average,27.03
2018-01-20,moong,Ahmedabad,21.76,Excellent,93.26
2018-01-21,potato,Jaipur,14.48,Good,10.68
2018-01-21,tomato,Ahmedabad,23.76,Average,35.81
2018-01-21,tur,Lucknow,48.34,Average,71.09
2018-01-22,onion,Lucknow,40.61,Poor,24.78
2018-01-23,moong,Hyderabad,11.46,Excellent,56.31
2018-01-23,wheat,Nagpur,26.54,Average,28.83
2018-01-23,onion,Ahmedabad,16.14,Poor,23.24
2018-01-24,rice,Pune,24.46,Good,46.72
2018-01-24,gram,Bhopal,14.91,Good,65.28
2018-01-25,gram,Hyderabad,6.79,Excellent,50.55
2018-01-25,wheat,Hyderabad,31.74,Good,18.54
2018-01-25,moong,Jaipur,21.95,Good,95.0
2018-01-25,soyabean,Lucknow,38.99,Good,60.21
2018-01-25,rice,Nagpur,34.8,Average,43.28
2018-01-25,soyabean,Bhopal,48.65,Poor,37.85
2018-01-26,tur,Lucknow,36.51,Average,80.42
2018-01-26,wheat,Bhopal,49.95,Excellent,22.69
2018-01-26,potato,Pune,26.7,Good,12.01
2018-01-27,wheat,Pune,38.17,Average,29.58
2018-01-27,urad,Jaipur,30.1,Excellent,50.88
2018-01-27,gram,Indore,10.54,Good,58.46
2018-01-27,gram,Kanpur,1.88,Average,54.44
2018-01-28,urad,Jaipur,49.7,Average,87.11
2018-01-28,potato,Patna,13.4,Good,13.97
2018-01-29,potato,Bhopal,16.81,Average,17.66
2018-01-29,tur,Hyderabad,6.75,Average,76.0
2018-01-29,tur,Kanpur,43.68,Average,59.79
2018-01-29,rice,Lucknow,44.12,Excellent,46.15
2018-01-29,urad,Pune,15.74,Average,77.95
2018-01-29,tomato,Indore,32.23,Average,28.79
2018-01-30,wheat,Bhopal,40.88,Poor,19.14
2018-01-30,soyabean,Hyderabad,15.93,Good,54.76
2018-01-30,gram,Ahmedabad,18.98,Poor,49.44
2018-01-30,rice,Indore,28.86,Good,33.97
2018-01-31,wheat,Lucknow,40.65,Average,17.84
2018-01-31,moong,Ahmedabad,24.58,Good,89.65
2018-01-31,potato,Bhopal,39.57,Good,17.57
2018-01-31,tomato,Pune,24.13,Average,34.77
2018-01-31,rice,Ahmedabad,0.48,Poor,50.11
2018-01-31,rice,Pune,13.01,Good,31.98
2018-01-31,potato,Jaipur,33.38,Average,15.56
2018-02-01,onion,Nagpur,47.32,Average,22.87
2018-02-01,urad,Bhopal,4.41,Good,52.74
2018-02-01,moong,Lucknow,26.8,Average,76.46
2018-02-01,onion,Patna,18.6,Good,20.89
2018-02-01,onion,Bhopal,6.05,Poor,23.61
2018-02-01,potato,Pune,13.82,Good,13.33
2018-02-02,gram,Jaipur,35.65,Poor,51.69
2018-02-02,soyabean,Jaipur,22.59,Average,64.33
2018-02-02,rice,Ahmedabad,0.97,Good,29.32
2018-02-02,tur,Nagpur,10.01,Average,52.61
2018-02-03,urad,Patna,16.77,Good,58.02
2018-02-03,urad,Bhopal,31.39,Excellent,52.36
2018-02-03,wheat,Hyderabad,44.14,Average,31.72
2018-02-03,rice,Hyderabad,5.64,Average,40.4
2018-02-04,urad,Lucknow,36.48,Good,55.87
2018-02-04,soyabean,Lucknow,2.79,Good,57.49
2018-02-04,gram,Lucknow,4.94,Average,47.79
2018-02-04,potato,Hyderabad,11.72,Average,15.82
2018-02-05,gram,Patna,40.28,Good,70.64
2018-02-05,wheat,Nagpur,1.98,Poor,18.79
2018-02-05,onion,Ahmedabad,14.2,Poor,17.17
2018-02-05,wheat,Hyderabad,31.95,Excellent,26.12
2018-02-05,tomato,Pune,29.75,Average,26.93
2018-02-06,tur,Patna,16.17,Average,82.63
2018-02-06,soyabean,Ahmedabad,6.16,Average,37.69
2018-02-06,tur,Lucknow,26.45,Excellent,55.65
2018-02-06,gram,Nagpur,8.25,Good,46.14
2018-02-07,urad,Pune,2.39,Good,63.21
2018-02-07,moong,Kanpur,48.8,Average,52.87
2018-02-07,rice,Hyderabad,14.56,Good,44.94
2018-02-07,tomato,Patna,29.12,Excellent,32.53
2018-02-07,urad,Pune,19.58,Average,57.85
2018-02-07,potato,Hyderabad,14.71,Excellent,15.17
2018-02-08,soyabean,Kanpur,42.14,Excellent,42.13
2018-02-08,moong,Nagpur,19.95,Average,82.62
2018-02-08,urad,Bhopal,2.11,Average,68.0
2018-02-08,wheat,Hyderabad,42.12,Excellent,23.66
2018-02-08,rice,Ahmedabad,23.31,Poor,47.73
2018-02-08,gram,Indore,33.22,Good,64.49
2018-02-09,rice,Indore,7.99,Good,33.57
2018-02-09,gram,Nagpur,45.36,Good,54.67
2018-02-09,wheat,Indore,26.33,Poor,27.32
2018-02-10,rice,Indore,41.79,Good,37.21
2018-02-10,potato,Nagpur,46.19,Excellent,12.04
2018-02-11,soyabean,Lucknow,18.73,Average,46.22
2018-02-11,moong,Hyderabad,20.36,Excellent,85.23
2018-02-11,potato,Patna,0.65,Average,13.13
2018-02-12,onion,Indore,16.24,Good,21.34
2018-02-12,onion,Ahmedabad,13.34,Good,14.91
2018-02-13,gram,Indore,28.98,Good,63.44
2018-02-13,gram,Pune,29.14,Average,51.89
2018-02-13,soyabean,Kanpur,1.86,Average,44.36
2018-02-13,wheat,Patna,15.25,Poor,18.91
2018-02-14,soyabean,Kanpur,17.02,Good,53.45
2018-02-14,onion,Indore,32.24,Excellent,16.94
2018-02-14,wheat,Kanpur,48.39,Poor,27.41
2018-02-14,onion,Bhopal,13.86,Average,24.88
2018-02-14,tomato,Jaipur,40.14,Good,25.37
2018-02-15,onion,Ahmedabad,45.13,Excellent,25.32
2018-02-15,rice,Jaipur,10.35,Poor,33.56
2018-02-16,soyabean,Bhopal,44.83,Poor,52.29
2018-02-16,gram,Indore,43.42,Average,76.54
2018-02-16,soyabean,Indore,16.37,Average,44.69
2018-02-17,onion,Ahmedabad,43.05,Average,22.63
2018-02-17,moong,Patna,13.26,Poor,77.98
2018-02-17,tomato,Patna,12.57,Average,24.17
2018-02-17,tur,Hyderabad,0.69,Excellent,70.14
2018-02-17,tomato,Indore,21.97,Good,34.25
2018-02-18,gram,Jaipur,24.13,Poor,75.57
2018-02-19,rice,Jaipur,8.67,Excellent,47.38
2018-02-19,potato,Kanpur,20.46,Excellent,12.89
2018-02-19,potato,Jaipur,35.21,Average,12.8
2018-02-19,wheat,Nagpur,16.24,Good,18.45
2018-02-19,gram,Ahmedabad,31.78,Good,62.16
2018-02-20,urad,Bhopal,29.92,Poor,57.04
2018-02-20,rice,Nagpur,44.58,Good,44.37
2018-02-20,urad,Jaipur,18.14,Average,74.89
2018-02-20,onion,Lucknow,33.97,Good,15.88
2018-02-20,onion,Patna,1.81,Excellent,18.1
2018-02-20,soyabean,Jaipur,14.99,Average,57.41
2018-02-21,urad,Patna,12.62,Average,54.32
2018-02-21,soyabean,Jaipur,47.15,Excellent,62.51
2018-02-22,gram,Jaipur,21.01,Poor,70.64
2018-02-22,potato,Patna,1.58,Excellent,17.23
2018-02-22,gram,Bhopal,6.97,Good,72.17
2018-02-22,tur,Kanpur,17.11,Good,57.59
2018-02-23,rice,Patna,10.27,Good,51.37
2018-02-23,gram,Indore,14.04,Excellent,46.44
2018-02-23,rice,Jaipur,16.87,Good,40.01
2018-02-24,moong,Hyderabad,3.33,Good,83.93
2018-02-24,soyabean,Lucknow,10.47,Good,46.56
2018-02-24,moong,Lucknow,28.36,Average,90.67
2018-02-24,tur,Lucknow,10.6,Excellent,70.79
2018-02-25,onion,Ahmedabad,17.07,Good,23.99
2018-02-25,soyabean,Lucknow,1.08,Good,54.12
2018-02-25,onion,Nagpur,20.06,Good,24.12
2018-02-25,potato,Pune,39.42,Poor,18.91
2018-02-25,onion,Lucknow,24.0,Good,18.6
2018-02-26,potato,Pune,47.0,Good,16.53
2018-02-26,tur,Indore,37.74,Good,78.55
2018-02-26,onion,Nagpur,6.66,Good,21.35
2018-02-26,tur,Lucknow,39.92,Excellent,62.44
2018-02-26,gram,Nagpur,42.37,Poor,71.11
2018-02-27,tur,Jaipur,19.08,Average,63.99
2018-02-28,onion,Nagpur,35.87,Good,19.09
2018-02-28,rice,Ahmedabad,0.87,Average,50.66
2018-03-01,tur,Ahmedabad,6.77,Good,59.31
2018-03-01,potato,Bhopal,21.45,Good,13.92
2018-03-01,tomato,Bhopal,43.13,Poor,35.22
2018-03-02,gram,Pune,11.71,Excellent,58.63
2018-03-03,potato,Hyderabad,10.75,Excellent,13.75
2018-03-03,rice,Nagpur,10.67,Good,40.6
2018-03-03,moong,Pune,38.1,Excellent,90.62
2018-03-03,potato,Kanpur,38.98,Good,14.26
2018-03-04,onion,Ahmedabad,27.46,Average,17.8
2018-03-04,tur,Ahmedabad,33.59,Poor,49.03
2018-03-04,tomato,Kanpur,3.59,Excellent,34.03
2018-03-05,urad,Hyderabad,18.7,Average,82.91
2018-03-05,moong,Ahmedabad,6.96,Good,93.19
2018-03-05,tomato,Nagpur,37.21,Excellent,30.03
2018-03-05,moong,Ahmedabad,36.53,Good,62.68
2018-03-05,onion,Indore,18.43,Average,17.6
2018-03-06,onion,Indore,0.18,Good,21.57
2018-03-06,onion,Indore,44.75,Good,25.91
2018-03-06,tur,Jaipur,7.53,Excellent,57.65
2018-03-06,soyabean,Indore,43.58,Average,56.04
2018-03-06,potato,Patna,12.45,Good,16.9
2018-03-07,rice,Indore,39.96,Good,33.24
2018-03-07,urad,Nagpur,33.41,Good,83.49
2018-03-07,onion,Nagpur,1.25,Good,14.23
2018-03-07,urad,Lucknow,3.41,Good,64.1
2018-03-07,onion,Lucknow,40.98,Good,25.7
2018-03-08,gram,Nagpur,3.7,Good,65.77
2018-03-08,potato,Indore,13.11,Good,12.99
2018-03-08,onion,Kanpur,14.82,Good,23.45
2018-03-09,moong,Patna,21.13,Excellent,69.91
2018-03-09,tomato,Jaipur,40.57,Poor,28.84
2018-03-09,gram,Nagpur,0.93,Average,76.94
2018-03-10,tomato,Jaipur,34.22,Average,37.91
2018-03-10,rice,Indore,32.4,Excellent,44.69
2018-03-10,moong,Kanpur,36.42,Poor,80.83
2018-03-11,onion,Indore,9.43,Average,17.21
2018-03-11,moong,Bhopal,40.91,Good,92.44
2018-03-11,gram,Lucknow,18.74,Good,43.09
2018-03-12,onion,Pune,39.49,Good,22.46
2018-03-12,onion,Bhopal,3.91,Excellent,22.35
2018-03-12,urad,Lucknow,46.17,Good,83.95
2018-03-12,soyabean,Kanpur,43.43,Poor,39.2
2018-03-13,tomato,Nagpur,30.24,Average,36.45
2018-03-13,potato,Lucknow,3.09,Excellent,13.13
2018-03-13,wheat,Indore,48.08,Average,22.74
2018-03-14,potato,Patna,30.11,Good,12.07
2018-03-15,potato,Hyderabad,34.06,Average,17.15
2018-03-15,potato,Pune,20.44,Average,14.97
2018-03-15,moong,Kanpur,7.56,Good,55.74
2018-03-15,potato,Nagpur,15.3,Good,13.57
2018-03-15,gram,Ahmedabad,5.03,Good,54.52
2018-03-15,tomato,Indore,27.58,Good,33.25
2018-03-15,moong,Jaipur,23.05,Excellent,70.55
2018-03-15,urad,Indore,8.75,Good,63.1
2018-03-15,tur,Kanpur,23.36,Average,75.38
2018-03-15,tur,Kanpur,9.31,Good,84.3
2018-03-16,onion,Lucknow,22.85,Good,24.91
2018-03-16,rice,Kanpur,2.6,Excellent,40.69
2018-03-16,tur,Indore,10.05,Average,53.81
2018-03-16,gram,Ahmedabad,32.35,Excellent,68.44
2018-03-17,gram,Patna,33.18,Good,65.62
2018-03-17,moong,Kanpur,8.15,Good,87.86
2018-03-18,moong,Kanpur,25.14,Average,68.12
2018-03-18,soyabean,Kanpur,1.29,Poor,63.33
2018-03-18,rice,Patna,12.14,Average,46.68
2018-03-18,tomato,Ahmedabad,42.06,Poor,31.43
2018-03-19,soyabean,Jaipur,4.18,Excellent,51.46
2018-03-19,tomato,Jaipur,11.18,Average,33.56
2018-03-19,tur,Kanpur,30.82,Excellent,80.54
2018-03-19,potato,Lucknow,30.54,Good,13.91
2018-03-20,wheat,Jaipur,29.9,Good,18.24
2018-03-20,rice,Patna,10.62,Good,42.82
2018-03-20,tomato,Lucknow,29.77,Good,38.21
2018-03-20,soyabean,Indore,36.59,Average,56.47
2018-03-20,wheat,Lucknow,4.65,Poor,17.58
2018-03-21,rice,Ahmedabad,19.85,Excellent,35.87
2018-03-21,wheat,Indore,25.42,Good,32.31
2018-03-21,soyabean,Kanpur,28.19,Excellent,42.56
2018-03-21,urad,Ahmedabad,12.97,Good,67.8
2018-03-22,urad,Ahmedabad,27.76,Good,74.83
2018-03-22,rice,Pune,20.18,Good,46.73
2018-03-22,wheat,Indore,17.81,Excellent,29.55
2018-03-23,tur,Lucknow,0.81,Poor,87.82
2018-03-23,potato,Indore,15.04,Poor,16.62
2018-03-23,soyabean,Nagpur,19.4,Good,40.17
2018-03-23,rice,Bhopal,24.78,Good,29.93
2018-03-23,tur,Hyderabad,37.69,Average,81.1
2018-03-23,moong,Jaipur,49.01,Good,54.48
2018-03-24,gram,Nagpur,14.8,Average,63.25
2018-03-24,tomato,Hyderabad,7.57,Average,34.22
2018-03-24,tur,Lucknow,30.16,Good,73.11
2018-03-24,onion,Ahmedabad,9.51,Poor,14.85
2018-03-25,rice,Lucknow,36.42,Good,42.23
2018-03-25,wheat,Kanpur,22.28,Excellent,31.59
2018-03-26,soyabean,Nagpur,29.45,Good,51.55
2018-03-26,rice,Hyderabad,47.22,Poor,33.1
2018-03-26,wheat,Nagpur,39.93,Good,31.96
2018-03-26,moong,Kanpur,6.84,Good,63.51
2018-03-26,onion,Indore,26.39,Good,17.95
2018-03-26,wheat,Nagpur,32.04,Good,25.35
2018-03-26,gram,Patna,12.23,Poor,43.43
2018-03-26,rice,Bhopal,20.08,Poor,42.67
2018-03-27,urad,Indore,1.88,Good,64.05
2018-03-27,rice,Indore,26.81,Average,33.78
2018-03-27,potato,Hyderabad,7.44,Average,12.36
2018-03-27,potato,Hyderabad,31.25,Excellent,14.23
2018-03-28,tomato,Kanpur,38.06,Excellent,33.32
2018-03-28,tomato,Pune,47.22,Excellent,27.59
2018-03-28,tomato,Indore,40.32,Average,33.71
2018-03-29,moong,Patna,14.47,Average,75.02
2018-03-29,potato,Jaipur,15.37,Poor,14.49
2018-03-29,wheat,Patna,47.59,Good,19.58
2018-03-30,urad,Pune,26.75,Excellent,51.2
2018-03-30,potato,Kanpur,9.51,Good,15.47
2018-03-30,moong,Nagpur,31.75,Good,52.77
2018-03-30,wheat,Nagpur,35.54,Average,25.74
2018-03-30,soyabean,Ahmedabad,34.42,Average,63.34
2018-03-30,potato,Nagpur,16.02,Good,19.4
2018-03-31,urad,Nagpur,21.03,Good,51.29
2018-03-31,urad,Kanpur,41.48,Good,48.65
2018-04-01,onion,Bhopal,35.91,Excellent,18.73
2018-04-02,gram,Patna,16.92,Good,47.02
2018-04-02,potato,Jaipur,14.49,Excellent,18.07
2018-04-02,moong,Lucknow,12.52,Excellent,72.06
2018-04-02,tomato,Indore,14.56,Average,33.35
2018-04-02,rice,Ahmedabad,9.69,Average,31.36
2018-04-03,onion,Nagpur,39.93,Average,25.32
2018-04-03,urad,Indore,7.65,Poor,78.03
2018-04-03,soyabean,Kanpur,6.55,Average,45.3
2018-04-04,onion,Indore,48.68,Good,25.55
2018-04-04,soyabean,Bhopal,30.37,Average,60.11
2018-04-04,tur,Pune,49.46,Good,52.52
2018-04-04,tur,Pune,38.94,Average,79.57
2018-04-05,urad,Bhopal,23.71,Average,51.26
2018-04-05,wheat,Indore,6.41,Poor,31.97
2018-04-06,tomato,Lucknow,15.86,Excellent,24.1
2018-04-06,onion,Ahmedabad,25.62,Good,25.66
2018-04-06,urad,Pune,13.59,Good,50.29
2018-04-06,soyabean,Nagpur,12.21,Average,53.52
2018-04-07,potato,Indore,5.03,Good,12.19
2018-04-07,tomato,Hyderabad,26.27,Good,26.36
2018-04-08,gram,Jaipur,37.31,Poor,66.61
2018-04-08,potato,Lucknow,32.36,Excellent,13.53
2018-04-08,moong,Jaipur,20.07,Good,92.72
2018-04-09,rice,Pune,35.15,Average,32.29
2018-04-09,wheat,Patna,27.38,Poor,26.73
2018-04-09,soyabean,Pune,25.86,Good,55.2
2018-04-10,onion,Lucknow,6.47,Average,20.02
2018-04-10,urad,Bhopal,17.55,Average,64.3
2018-04-11,soyabean,Bhopal,3.79,Excellent,48.89
2018-04-11,potato,Jaipur,9.78,Good,18.23
2018-04-11,tur,Indore,14.82,Good,75.2
2018-04-11,moong,Jaipur,9.02,Poor,63.29
2018-04-11,tomato,Pune,9.41,Good,28.76
2018-04-11,moong,Pune,2.87,Good,59.56
2018-04-12,tomato,Pune,40.79,Good,27.74
2018-04-12,gram,Jaipur,32.73,Good,63.46
2018-04-13,rice,Patna,3.88,Good,48.24
2018-04-13,tomato,Jaipur,11.13,Poor,27.24
2018-04-13,rice,Indore,0.23,Good,51.54
2018-04-13,tomato,Patna,26.38,Average,22.76
2018-04-13,wheat,Kanpur,45.67,Poor,20.85
2018-04-13,wheat,Jaipur,37.44,Average,25.59
2018-04-14,gram,Pune,31.54,Average,47.58
2018-04-14,gram,Hyderabad,44.88,Good,75.25
2018-04-14,urad,Nagpur,39.85,Excellent,72.19
2018-04-14,tomato,Hyderabad,8.55,Average,34.35
2018-04-15,gram,Patna,27.41,Good,54.34
2018-04-16,moong,Bhopal,29.61,Good,74.48
2018-04-16,rice,Hyderabad,5.67,Poor,37.0
2018-04-16,tur,Ahmedabad,24.41,Average,88.88
2018-04-17,wheat,Jaipur,48.44,Poor,19.73
2018-04-17,urad,Ahmedabad,32.91,Good,51.03
2018-04-17,tur,Jaipur,39.55,Average,49.62
2018-04-18,urad,Kanpur,20.95,Good,64.72
2018-04-18,potato,Pune,34.07,Average,19.29
2018-04-19,urad,Patna,30.04,Good,87.48
2018-04-19,tomato,Bhopal,31.38,Poor,23.54
2018-04-19,tomato,Bhopal,34.4,Excellent,34.59
2018-04-19,wheat,Bhopal,39.48,Good,27.71
2018-04-19,wheat,Bhopal,46.3,Good,21.19
2018-04-19,tomato,Kanpur,7.15,Poor,30.01
2018-04-19,tomato,Hyderabad,20.91,Excellent,26.47
2018-04-19,tomato,Nagpur,38.06,Good,29.65
2018-04-19,rice,Jaipur,2.67,Average,29.92
2018-04-20,tomato,Lucknow,16.08,Average,29.97
2018-04-20,wheat,Hyderabad,22.52,Excellent,30.34
2018-04-21,potato,Lucknow,17.76,Excellent,18.94
2018-04-21,urad,Ahmedabad,22.22,Excellent,83.49
2018-04-22,tomato,Nagpur,20.25,Average,35.07
2018-04-22,soyabean,Indore,5.42,Excellent,41.58
2018-04-22,soyabean,Hyderabad,32.35,Average,36.03
2018-04-22,wheat,Bhopal,32.35,Good,26.17
2018-04-23,gram,Nagpur,34.15,Average,49.03
2018-04-23,soyabean,Lucknow,9.44,Average,64.29
2018-04-23,wheat,Nagpur,47.97,Good,28.19
2018-04-23,gram,Ahmedabad,43.73,Poor,44.46
2018-04-24,potato,Nagpur,23.99,Excellent,15.51
2018-04-24,urad,Indore,18.96,Average,86.39
2018-04-24,wheat,Kanpur,48.06,Excellent,20.17
2018-04-24,tur,Nagpur,25.34,Poor,82.38
2018-04-25,gram,Jaipur,35.0,Average,45.89
2018-04-25,rice,Patna,4.96,Average,49.21
2018-04-25,tur,Kanpur,39.45,Good,60.98
2018-04-25,tomato,Pune,1.96,Poor,35.03
2018-04-25,soyabean,Hyderabad,5.19,Average,56.12
2018-04-26,urad,Kanpur,5.96,Excellent,77.39
2018-04-26,potato,Indore,35.19,Good,18.44
2018-04-27,rice,Lucknow,35.82,Good,33.32
2018-04-27,soyabean,Bhopal,7.53,Excellent,63.56
2018-04-27,potato,Pune,23.19,Good,14.16
2018-04-28,tur,Lucknow,41.67,Average,81.08
2018-04-28,tur,Lucknow,32.34,Good,89.65
2018-04-28,wheat,Patna,25.37,Good,26.51
2018-04-29,moong,Jaipur,11.75,Good,65.22
2018-04-29,moong,Patna,6.79,Good,93.15
2018-04-29,rice,Pune,43.01,Good,44.99
2018-04-29,potato,Bhopal,36.91,Poor,13.01
2018-04-30,soyabean,Nagpur,30.76,Average,36.37
2018-04-30,soyabean,Jaipur,5.61,Excellent,53.29
2018-05-01,rice,Bhopal,8.9,Average,30.61
2018-05-01,wheat,Pune,12.31,Average,30.5
2018-05-01,rice,Patna,43.6,Poor,41.87
2018-05-02,gram,Bhopal,47.88,Excellent,54.03
2018-05-02,onion,Indore,31.8,Good,18.81
2018-05-02,tomato,Patna,19.89,Excellent,33.58
2018-05-02,gram,Bhopal,28.89,Excellent,47.78
2018-05-02,tur,Ahmedabad,20.76,Average,52.94
2018-05-02,urad,Kanpur,32.56,Good,65.12
2018-05-03,moong,Hyderabad,13.83,Good,59.7
2018-05-03,wheat,Lucknow,12.27,Excellent,29.77
2018-05-03,tomato,Hyderabad,45.67,Good,29.68
2018-05-04,onion,Ahmedabad,13.21,Average,23.19
2018-05-04,moong,Patna,26.85,Poor,89.28
2018-05-04,moong,Nagpur,25.21,Good,65.13
2018-05-04,wheat,Lucknow,25.72,Good,31.6
2018-05-04,potato,Indore,2.55,Average,13.21
2018-05-04,urad,Pune,15.0,Average,58.74
2018-05-05,soyabean,Kanpur,12.09,Good,38.21
2018-05-05,wheat,Hyderabad,2.79,Good,18.98
2018-05-05,soyabean,Nagpur,35.63,Good,53.22
2018-05-05,urad,Patna,16.15,Average,67.72
2018-05-05,gram,Patna,34.55,Good,73.56
2018-05-06,tomato,Bhopal,23.25,Good,28.99
2018-05-06,tomato,Kanpur,10.55,Good,22.68
2018-05-06,wheat,Ahmedabad,31.52,Good,21.96
2018-05-06,potato,Patna,24.67,Excellent,18.27
2018-05-06,urad,Bhopal,16.42,Excellent,59.54
2018-05-07,gram,Nagpur,23.32,Average,61.6
2018-05-07,moong,Pune,34.44,Average,72.48
2018-05-07,onion,Lucknow,47.35,Excellent,20.32
2018-05-07,moong,Jaipur,16.91,Average,70.44
2018-05-07,soyabean,Patna,23.47,Good,36.3
2018-05-07,tur,Lucknow,27.85,Average,65.33
2018-05-08,rice,Kanpur,17.67,Poor,42.64
2018-05-08,moong,Jaipur,4.62,Average,80.84
2018-05-08,soyabean,Nagpur,3.61,Good,58.71
2018-05-08,soyabean,Kanpur,40.75,Poor,52.8
2018-05-08,urad,Nagpur,43.83,Good,73.03
2018-05-09,gram,Bhopal,8.27,Good,48.22
2018-05-09,gram,Jaipur,49.93,Good,66.13
2018-05-10,tur,Pune,38.85,Average,86.42
2018-05-10,onion,Bhopal,10.65,Good,16.1
2018-05-10,rice,Lucknow,35.29,Poor,42.12
2018-05-10,urad,Jaipur,34.24,Good,61.87
2018-05-11,moong,Bhopal,34.12,Good,59.03
2018-05-11,moong,Bhopal,48.78,Average,68.87
2018-05-12,wheat,Indore,48.15,Average,19.46
2018-05-12,soyabean,Bhopal,27.72,Average,35.57
2018-05-12,moong,Hyderabad,7.74,Average,61.37
2018-05-12,rice,Lucknow,39.72,Average,30.93
2018-05-12,potato,Bhopal,2.09,Excellent,13.26
2018-05-13,potato,Lucknow,21.25,Poor,13.76
2018-05-13,wheat,Indore,13.53,Good,30.65
2018-05-13,tur,Lucknow,47.25,Good,61.47
2018-05-13,rice,Patna,4.83,Good,31.69
2018-05-13,tur,Lucknow,15.74,Average,70.8
